Codigo,Nat,Ud,Resumen,CanPres,Pres,ImpPres,Categoria,Subcategoria,Fecha
MAA04154,Material,m3,Hormigon h 2 sacos,0.0,22687.0,0.0,Hormigones y morteros,Hormigones,30/04/2025
MAA04155,Material,m3,Hormigon h 3 sacos,0.0,25225.0,0.0,Hormigones y morteros,Hormigones,30/04/2025
MAA04156,Material,m3,Hormigon h 4 sacos,0.0,27016.0,0.0,Hormigones y morteros,Hormigones,30/04/2025
MAA04157,Material,m3,Hormigon h 5 sacos,0.0,28807.0,0.0,Hormigones y morteros,Hormigones,30/04/2025
MAA04158,Material,m3,Hormigon h 6 sacos,0.0,31344.0,0.0,Hormigones y morteros,Hormigones,30/04/2025
MAA04172,Material,m3,Hormigon hp25(80)40/3 pav.,0.0,32837.0,0.0,Hormigones y morteros,Hormigones,30/04/2025
MAA04173,Material,m3,Hormigon hp30(80)40/3 pav.,0.0,34031.0,0.0,Hormigones y morteros,Hormigones,30/04/2025
MAA04177,Material,kg,Hormigon epoxico as 342-300,0.0,3750.0,0.0,Hormigones y morteros,Hormigones,30/04/2025
MAA05159,Material,m3,Horm. proyec shotcret r-225,0.0,88500.0,0.0,Hormigones y morteros,Hormigones,30/04/2025
MAA05480,Material,m3,Hormig. proyect s-340 preme,0.0,86500.0,0.0,Hormigones y morteros,Hormigones,30/04/2025
MAA06094,Material,m3,Hormigon HN15(80)40/5,0.0,37001.0,0.0,Hormigones y morteros,Hormigones,30/04/2025
MAA06095,Material,m3,Hormigon h15 n.c.80%bombead,0.0,35419.0,0.0,Hormigones y morteros,Hormigones,30/04/2025
MAA06096,Material,m3,Hormigon hn20(80)40/5,0.0,53592.0,0.0,Hormigones y morteros,Hormigones,30/04/2025
MAA06097,Material,m3,Hormigon hb20(80)40/8 bomb,0.0,35374.0,0.0,Hormigones y morteros,Hormigones,30/04/2025
MAA06098,Material,m3,Hormigon hn25(80)40/5,0.0,42823.0,0.0,Hormigones y morteros,Hormigones,30/04/2025
MAA06099,Material,m3,Hormigon hb25(90)20/8 bomb,0.0,35374.0,0.0,Hormigones y morteros,Hormigones,30/04/2025
MAA06100,Material,m3,Hormigon hn30(90)40/6,0.0,55622.0,0.0,Hormigones y morteros,Hormigones,30/04/2025
MAA06101,Material,m3,Hormigon hb30(80)40/8 bomb,0.0,62016.0,0.0,Hormigones y morteros,Hormigones,30/04/2025
MAA06102,Material,m3,Hormigon hn35(80)40/5,0.0,37613.0,0.0,Hormigones y morteros,Hormigones,30/04/2025
MAA06107,Material,m3,Hormigon hn5(80)40/5,0.0,25673.0,0.0,Hormigones y morteros,Hormigones,30/04/2025
MAA06108,Material,m3,Hormigon hn10(80)40/5,0.0,27762.0,0.0,Hormigones y morteros,Hormigones,30/04/2025
MAA06366,Material,m3,Hormigon S-85-40-06,0.0,22987.0,0.0,Hormigones y morteros,Hormigones,30/04/2025
MAA06367,Material,m3,S-127-40-06,0.0,24826.0,0.0,Hormigones y morteros,Hormigones,30/04/2025
MAA06368,Material,m3,S-212-40-06,0.0,28510.0,0.0,Hormigones y morteros,Hormigones,30/04/2025
MAA06369,Material,m3,S-255-40-06,0.0,29631.0,0.0,Hormigones y morteros,Hormigones,30/04/2025
MAA06370,Material,m3,H-005-40-06 niv.conf. 80%,0.0,24826.0,0.0,Hormigones y morteros,Hormigones,30/04/2025
MAA06371,Material,m3,H-005-40-06 niv.cont. 90%,0.0,25467.0,0.0,Hormigones y morteros,Hormigones,30/04/2025
MAA06372,Material,m3,H-005-40-06 niv.conf. 95%,0.0,26107.0,0.0,Hormigones y morteros,Hormigones,30/04/2025
MAA06373,Material,m3,H-010-40-06 niv.conf. 80%,0.0,26748.0,0.0,Hormigones y morteros,Hormigones,30/04/2025
MAA06374,Material,m3,H-010-40-06 niv.conf. 90%,0.0,27389.0,0.0,Hormigones y morteros,Hormigones,30/04/2025
MAA06375,Material,m3,H-010-40-06 niv.conf. 95%,0.0,28029.0,0.0,Hormigones y morteros,Hormigones,30/04/2025
MAA06376,Material,m3,H-015-40-06 niv.conf. 80%,0.0,29631.0,0.0,Hormigones y morteros,Hormigones,30/04/2025
MAA06377,Material,m3,H-015-40-06 niv.conf. 90%,0.0,30272.0,0.0,Hormigones y morteros,Hormigones,30/04/2025
MAA06378,Material,m3,H-015-40-06 niv.conf. 95%,0.0,30752.0,0.0,Hormigones y morteros,Hormigones,30/04/2025
MAA06379,Material,m3,H-020-40-06 niv.conf. 80%,0.0,32034.0,0.0,Hormigones y morteros,Hormigones,30/04/2025
MAA06380,Material,m3,H-020-40-06 niv.conf. 90%,0.0,53795.0,0.0,Hormigones y morteros,Hormigones,30/04/2025
MAA06381,Material,m3,H-020-40-06 niv.conf. 95%,0.0,32034.0,0.0,Hormigones y morteros,Hormigones,30/04/2025
MAA06382,Material,m3,H-025-40-06 niv.conf. 80%,0.0,33956.0,0.0,Hormigones y morteros,Hormigones,30/04/2025
MAA06383,Material,m3,H-025-40-06 niv.conf. 90%,0.0,34596.0,0.0,Hormigones y morteros,Hormigones,30/04/2025
MAA06384,Material,m3,H-025-40-06 niv.conf. 95%,0.0,35237.0,0.0,Hormigones y morteros,Hormigones,30/04/2025
MAA06385,Material,m3,H-030-40-06 niv.conf. 80%,0.0,36038.0,0.0,Hormigones y morteros,Hormigones,30/04/2025
MAA06386,Material,m3,H-030-20-08 niv.conf. 90%,0.0,66423.0,0.0,Hormigones y morteros,Hormigones,30/04/2025
MAA06387,Material,m3,H-030-40-06 niv.conf. 95%,0.0,33796.0,0.0,Hormigones y morteros,Hormigones,30/04/2025
MAA06388,Material,m3,P-038-40-02 niv.conf. 80%,0.0,35557.0,0.0,Hormigones y morteros,Hormigones,30/04/2025
MAA06389,Material,m3,P-040-40-08 niv.conf. 80%,0.0,35587.0,0.0,Hormigones y morteros,Hormigones,30/04/2025
MAB00018,Material,lit,Mortero 170 kg/cem/m3,0.0,20.0,0.0,Hormigones y morteros,Morteros,30/04/2025
MAB00024,Material,lit,Mortero 140 kg/cem/m3,0.0,18.0,0.0,Hormigones y morteros,Morteros,30/04/2025
MAB00025,Material,lit,Mortero 250 kg/cem/m3,0.0,25.0,0.0,Hormigones y morteros,Morteros,30/04/2025
MAB00029,Material,lit,Mortero 212 kg/cem/m3,0.0,26.0,0.0,Hormigones y morteros,Morteros,30/04/2025
MAB00031,Material,lit,Mortero 300 kg/cem/m3,0.0,32.0,0.0,Hormigones y morteros,Morteros,30/04/2025
MAB00033,Material,lit,Mortero 340 kg/cem/m3,0.0,87.0,0.0,Hormigones y morteros,Morteros,30/04/2025
MAB00034,Material,lit,Mortero 460 kg/cem/m3,0.0,38.0,0.0,Hormigones y morteros,Morteros,30/04/2025
MAB00035,Material,lit,Mortero 400 kg/cem/m3,0.0,42.0,0.0,Hormigones y morteros,Morteros,30/04/2025
MAB00910,Material,sac,Cave autolevel mort. 20k,0.0,10800.0,0.0,Hormigones y morteros,Morteros,30/04/2025
MAB01204,Material,sac,Sikashot  (sacox30),0.0,3990.0,0.0,Hormigones y morteros,Morteros,30/04/2025
MAB01238,Material,kg,Set 45 (saco=25kg),0.0,1074.0,0.0,Hormigones y morteros,Morteros,30/04/2025
MAB01378,Material,kg,Cave 3 mort rest horm s20kg,0.0,718.0,0.0,Hormigones y morteros,Morteros,30/04/2025
MAB01380,Material,kg,Cave 2 sello hidr  sco 20kg,0.0,1300.0,0.0,Hormigones y morteros,Morteros,30/04/2025
MAB01745,Material,bol,Elastomix grout mort pre,0.0,8630.0,0.0,Hormigones y morteros,Morteros,30/04/2025
MAB01862,Material,kg,Mort predosif sikagrout anc,0.0,234.0,0.0,Hormigones y morteros,Morteros,30/04/2025
MAB01864,Material,kg,Puente adherenc sika top 77,0.0,3528.0,0.0,Hormigones y morteros,Morteros,30/04/2025
MAB01866,Material,kg,Mort predosif sika top 121,0.0,643.0,0.0,Hormigones y morteros,Morteros,30/04/2025
MAB02338,Material,sac,Gracegrout 49 (saco 25 kg),0.0,7900.0,0.0,Hormigones y morteros,Morteros,30/04/2025
MAB02369,Material,caj,Sika-1 (caja 9x1.5),0.0,14310.0,0.0,Hormigones y morteros,Morteros,30/04/2025
MAB02371,Material,tin,Sika-2 (tineta x 25),0.0,30500.0,0.0,Hormigones y morteros,Morteros,30/04/2025
MAB02372,Material,caj,Sika-2 (caja 4x6),0.0,33000.0,0.0,Hormigones y morteros,Morteros,30/04/2025
MAB02373,Material,caj,Sika-2 (caja 9x1.8),0.0,30780.0,0.0,Hormigones y morteros,Morteros,30/04/2025
MAB02374,Material,tam,Sikaferrogard 901 (tambor x 180),0.0,412000.0,0.0,Hormigones y morteros,Morteros,30/04/2025
MAB02375,Material,uni,Sika top 111-1 (juego x 25),0.0,13500.0,0.0,Hormigones y morteros,Morteros,30/04/2025
MAB02384,Material,sac,Sika grout 210 (saco x 30),0.0,16800.0,0.0,Hormigones y morteros,Morteros,30/04/2025
MAB02431,Material,kg,Sikalisto mort repar sc30kg,0.0,192.0,0.0,Hormigones y morteros,Morteros,30/04/2025
MAB02432,Material,kg,Sikalisto mort imperm s30kg,0.0,192.0,0.0,Hormigones y morteros,Morteros,30/04/2025
MAB02503,Material,sac,Be mezcla (saco 40kg.),0.0,2950.0,0.0,Hormigones y morteros,Morteros,30/04/2025
MAB03114,Material,m3,Mort proyect s-300 premezcl,0.0,88500.0,0.0,Hormigones y morteros,Morteros,30/04/2025
MAB04804,Material,kg,Cave 2 sello hidr  tin 14kg,0.0,1564.0,0.0,Hormigones y morteros,Morteros,30/04/2025
MAB04805,Material,kg,Cave 3 mort rest horm 15kg,0.0,913.0,0.0,Hormigones y morteros,Morteros,30/04/2025
MAB05481,Material,m2,"Revestim shotcret e=0,02",0.0,2478.0,0.0,Hormigones y morteros,Morteros,30/04/2025
MAB05482,Material,m2,"Revestim shotcret e=0,05",0.0,5946.0,0.0,Hormigones y morteros,Morteros,30/04/2025
MAB05553,Material,Kg,Cave grout-n mort anc t15kg,0.0,553.0,0.0,Hormigones y morteros,Morteros,30/04/2025
MAB05554,Material,Kg,Cave grout-n mort anc s20kg,0.0,438.0,0.0,Hormigones y morteros,Morteros,30/04/2025
MAB05555,Material,Kg,Cave grout-r mort anc t14kg,0.0,685.0,0.0,Hormigones y morteros,Morteros,30/04/2025
MAB05556,Material,Kg,Cave grout-r mort anc s20kg,0.0,493.0,0.0,Hormigones y morteros,Morteros,30/04/2025
MAB05743,Material,sac,Emaco t430,0.0,12692.0,0.0,Hormigones y morteros,Morteros,30/04/2025
MAB05744,Material,sac,Mastertop 200 natural s=40k,0.0,25600.0,0.0,Hormigones y morteros,Morteros,30/04/2025
MAB05825,Material,kg,Cave patch rest pav tin15kg,0.0,805.0,0.0,Hormigones y morteros,Morteros,30/04/2025
MAB05845,Material,sac,Mastertop 100 natural s=25k,0.0,9026.0,0.0,Hormigones y morteros,Morteros,30/04/2025
MAB05846,Material,kg,Sikament multimix,0.0,900.0,0.0,Hormigones y morteros,Morteros,30/04/2025
MAB05847,Material,tam,Sikapump (tambor x 200),0.0,75000.0,0.0,Hormigones y morteros,Morteros,30/04/2025
MAB05848,Material,kg,Sikament nf,0.0,650.0,0.0,Hormigones y morteros,Morteros,30/04/2025
MAB05849,Material,sac,Sikalisto repair plus hogar (saco x 5),0.0,1050.0,0.0,Hormigones y morteros,Morteros,30/04/2025
MAB05850,Material,sac,Sikalisto hogar (saco x 30),0.0,4440.0,0.0,Hormigones y morteros,Morteros,30/04/2025
MAB05851,Material,sac,Sikalisto repair p impermeable (sac x 5),0.0,1475.0,0.0,Hormigones y morteros,Morteros,30/04/2025
MAB05852,Material,sac,Sikalisto impermeable (saco x 30),0.0,5970.0,0.0,Hormigones y morteros,Morteros,30/04/2025
MAC00019,Material,sac,Cemento polpaic espec p/obra,0.0,3478.0,0.0,Hormigones y morteros,Cementos,30/04/2025
MAC00026,Material,sac,Cemento blanco (50kg),0.0,8494.0,0.0,Hormigones y morteros,Cementos,30/04/2025
MAC01253,Material,sac,Inacesa especial fca antof,0.0,3763.0,0.0,Hormigones y morteros,Cementos,30/04/2025
MAC01254,Material,sac,Inacesa a-resist fca antof,0.0,4290.0,0.0,Hormigones y morteros,Cementos,30/04/2025
MAC01255,Material,sac,Cemento bio bio especial,0.0,3866.0,0.0,Hormigones y morteros,Cementos,30/04/2025
MAC01256,Material,sac,Bio bio a-resist fca talhno,0.0,4280.0,0.0,Hormigones y morteros,Cementos,30/04/2025
MAC01900,Material,sac,Cemento polpaic 400 pto fab,0.0,4000.0,0.0,Hormigones y morteros,Cementos,30/04/2025
MAC01934,Material,sac,Cemento polpaico espec publ,0.0,3180.0,0.0,Hormigones y morteros,Cementos,30/04/2025
MAC01971,Material,sac,Cemento especial pto fabric,0.0,2944.0,0.0,Hormigones y morteros,Cementos,30/04/2025
MAC04143,Material,sac,Cemento melon espec pto fab,0.0,3840.0,0.0,Hormigones y morteros,Cementos,30/04/2025
MAC04144,Material,sac,Cemento melon extra pto fab,0.0,4454.0,0.0,Hormigones y morteros,Cementos,30/04/2025
MAC04145,Material,sac,Cemento melon super pto fab,0.0,3841.0,0.0,Hormigones y morteros,Cementos,30/04/2025
MAD00039,Material,sac,Cal superfina p/stgo sc 20k,0.0,1265.0,0.0,Hormigones y morteros,Cal y yeso,30/04/2025
MAD00399,Material,kg,Yeso pegamento,0.0,134.0,0.0,Hormigones y morteros,Cal y yeso,30/04/2025
MAD00415,Material,sac,Yeso super volcan (s=30kg),0.0,2208.0,0.0,Hormigones y morteros,Cal y yeso,30/04/2025
MAD01159,Material,sac,Yeso maq. tip.a sac=30k,0.0,2810.0,0.0,Hormigones y morteros,Cal y yeso,30/04/2025
MAD01385,Material,sac,Yeso estuco saco=30kgs.,0.0,2341.0,0.0,Hormigones y morteros,Cal y yeso,30/04/2025
MAD01833,Material,sac,Cal para pintar (20 kg),0.0,1500.0,0.0,Hormigones y morteros,Cal y yeso,30/04/2025
MAD01867,Material,sac,Cal extrafina (25 kg),0.0,1950.0,0.0,Hormigones y morteros,Cal y yeso,30/04/2025
MAD01923,Material,sac,Cal hidraul p/obra min 200s (25 kg),0.0,1420.0,0.0,Hormigones y morteros,Cal y yeso,30/04/2025
MAD01939,Material,sac,Cal hidrata p/obra min 200s (25 kg),0.0,1350.0,0.0,Hormigones y morteros,Cal y yeso,30/04/2025
MAD02472,Material,kg,Cal blanca hidratada primav,0.0,143.0,0.0,Hormigones y morteros,Cal y yeso,30/04/2025
MAD03489,Material,sac,Yeso pegamento gyplac (30kg,0.0,4392.0,0.0,Hormigones y morteros,Cal y yeso,30/04/2025
MAD03500,Material,sac,Cal pintacal sco 25k,0.0,3941.0,0.0,Hormigones y morteros,Cal y yeso,30/04/2025
MAD03501,Material,sac,Cal para mortero hidr p/stgo sco 25kg,0.0,1686.0,0.0,Hormigones y morteros,Cal y yeso,30/04/2025
MAD03637,Material,sac,Yesomur (saco 30 kg),0.0,2741.0,0.0,Hormigones y morteros,Cal y yeso,30/04/2025
MAD03738,Material,sac,Yeso calcinado (saco 30 kg),0.0,2227.0,0.0,Hormigones y morteros,Cal y yeso,30/04/2025
MAE00002,Material,lit,Arena lepanto,0.0,15.0,0.0,Hormigones y morteros,Aridos,30/04/2025
MAE00011,Material,m3,Arena planta (flete 15 km),0.0,9890.0,0.0,Hormigones y morteros,Aridos,30/04/2025
MAE00013,Material,m3,Arena gruesa (flete 15 km),0.0,6500.0,0.0,Hormigones y morteros,Aridos,30/04/2025
MAE00017,Material,m3,Bolon selecc c/flete 15 kms,0.0,6500.0,0.0,Hormigones y morteros,Aridos,30/04/2025
MAE00021,Material,m3,Ripio,0.0,9680.0,0.0,Hormigones y morteros,Aridos,30/04/2025
MAE00144,Material,m3,Arena estuco c/flete 15 kms,0.0,6500.0,0.0,Hormigones y morteros,Aridos,30/04/2025
MAE00159,Material,m3,Ripio canto rodado flet 15k,0.0,3450.0,0.0,Hormigones y morteros,Aridos,30/04/2025
MAE00160,Material,m3,Bolon con flete a 15 kms.,0.0,3508.0,0.0,Hormigones y morteros,Aridos,30/04/2025
MAE00161,Material,m3,Maicillo con flete a 15 kms,0.0,4025.0,0.0,Hormigones y morteros,Aridos,30/04/2025
MAE00548,Material,m3,Arena de rio,0.0,5290.0,0.0,Hormigones y morteros,Aridos,30/04/2025
MAE00753,Material,m3,"Estabilizado con flete 15 km bajo 4""",0.0,2960.0,0.0,Hormigones y morteros,Aridos,30/04/2025
MAE00869,Material,m3,Arena (flete 15 km),0.0,6500.0,0.0,Hormigones y morteros,Aridos,30/04/2025
MAE00931,Material,m3,Estabiliz chancado flet 15k,0.0,6986.0,0.0,Hormigones y morteros,Aridos,30/04/2025
MAE01432,Material,m3,Grava pta pudahuel/c navia,0.0,2650.0,0.0,Hormigones y morteros,Aridos,30/04/2025
MAE01441,Material,m3,Grava puesta maipu,0.0,2650.0,0.0,Hormigones y morteros,Aridos,30/04/2025
MAE01459,Material,m3,Grava puesta huechuraba,0.0,3170.0,0.0,Hormigones y morteros,Aridos,30/04/2025
MAE01514,Material,m3,Grava pta conch/recol/indep,0.0,3090.0,0.0,Hormigones y morteros,Aridos,30/04/2025
MAE01530,Material,m3,Grava pta. en santiago,0.0,2450.0,0.0,Hormigones y morteros,Aridos,30/04/2025
MAE01557,Material,m3,Grava pta qnormal/prado/ec,0.0,2850.0,0.0,Hormigones y morteros,Aridos,30/04/2025
MAE01564,Material,m3,Grava pta en obra,0.0,6800.0,0.0,Hormigones y morteros,Aridos,30/04/2025
MAE01570,Material,m3,Grava pta el bosque/la pint,0.0,2170.0,0.0,Hormigones y morteros,Aridos,30/04/2025
MAE01579,Material,m3,Grava pta cist/ramon/granja,0.0,2400.0,0.0,Hormigones y morteros,Aridos,30/04/2025
MAE01585,Material,m3,Grava pta s miguel/s joaqui,0.0,2530.0,0.0,Hormigones y morteros,Aridos,30/04/2025
MAE01628,Material,m3,Grava puesta en puente alto,0.0,2130.0,0.0,Hormigones y morteros,Aridos,30/04/2025
MAE01664,Material,m3,Grava puesta la florida,0.0,2530.0,0.0,Hormigones y morteros,Aridos,30/04/2025
MAE01699,Material,m3,Grava pta macul/penalolen,0.0,2730.0,0.0,Hormigones y morteros,Aridos,30/04/2025
MAE01725,Material,m3,Grava puesta nunoa-la reina,0.0,2840.0,0.0,Hormigones y morteros,Aridos,30/04/2025
MAE01742,Material,m3,Grava puesta providencia,0.0,2850.0,0.0,Hormigones y morteros,Aridos,30/04/2025
MAE01748,Material,m3,Grava puesta en las condes,0.0,3800.0,0.0,Hormigones y morteros,Aridos,30/04/2025
MAE01758,Material,m3,Grava puesta en vitacura,0.0,3210.0,0.0,Hormigones y morteros,Aridos,30/04/2025
MAE01764,Material,m3,Gravilla pta. quilicura,0.0,12300.0,0.0,Hormigones y morteros,Aridos,30/04/2025
MAE01778,Material,m3,Gravilla pta nunoa/la reina,0.0,3240.0,0.0,Hormigones y morteros,Aridos,30/04/2025
MAE01808,Material,m3,Gravilla pudahuel/c navia,0.0,3000.0,0.0,Hormigones y morteros,Aridos,30/04/2025
MAE01814,Material,m3,Gravilla pta. en maipu,0.0,3000.0,0.0,Hormigones y morteros,Aridos,30/04/2025
MAE01824,Material,m3,Gravilla pta. en huechuraba,0.0,3520.0,0.0,Hormigones y morteros,Aridos,30/04/2025
MAE01830,Material,m3,Gravilla cister/ramon/granj,0.0,2800.0,0.0,Hormigones y morteros,Aridos,30/04/2025
MAE01836,Material,m3,Gravilla sn miguel/sn joaqu,0.0,2880.0,0.0,Hormigones y morteros,Aridos,30/04/2025
MAE01891,Material,m3,Gravilla pta en Lanco,0.0,8480.0,0.0,Hormigones y morteros,Aridos,30/04/2025
MAE01899,Material,m3,Gravilla puesta la florida,0.0,2880.0,0.0,Hormigones y morteros,Aridos,30/04/2025
MAE01908,Material,m3,Gravilla macul/penalolen,0.0,3080.0,0.0,Hormigones y morteros,Aridos,30/04/2025
MAE01915,Material,m3,Gravilla conch/recol/indepe,0.0,3440.0,0.0,Hormigones y morteros,Aridos,30/04/2025
MAE01921,Material,m3,Gravilla puesta en santiago,0.0,2800.0,0.0,Hormigones y morteros,Aridos,30/04/2025
MAE01935,Material,m3,Gravilla q normal/prado/ec,0.0,3200.0,0.0,Hormigones y morteros,Aridos,30/04/2025
MAE01947,Material,m3,Gravilla cerr/lo espej /pac,0.0,2840.0,0.0,Hormigones y morteros,Aridos,30/04/2025
MAE01975,Material,m3,Gravilla el bosque/la pinta,0.0,2520.0,0.0,Hormigones y morteros,Aridos,30/04/2025
MAE01998,Material,m3,Arena lepanto grueso,0.0,7000.0,0.0,Hormigones y morteros,Aridos,30/04/2025
MAE02019,Material,m3,Arena pta quilicura-la dehe,0.0,5060.0,0.0,Hormigones y morteros,Aridos,30/04/2025
MAE02021,Material,m3,Arena pta providencia,0.0,4700.0,0.0,Hormigones y morteros,Aridos,30/04/2025
MAE02024,Material,m3,Gravilla,0.0,6000.0,0.0,Hormigones y morteros,Aridos,30/04/2025
MAE02028,Material,m3,Arena puesta en renca,0.0,4660.0,0.0,Hormigones y morteros,Aridos,30/04/2025
MAE02041,Material,m3,Gravilla pta en providencia,0.0,3200.0,0.0,Hormigones y morteros,Aridos,30/04/2025
MAE02050,Material,m3,Piedra huevill 2-3cm fl 15k,0.0,7000.0,0.0,Hormigones y morteros,Aridos,30/04/2025
MAE02051,Material,m3,Piedra 10cm bolon esp a 15k,0.0,7000.0,0.0,Hormigones y morteros,Aridos,30/04/2025
MAE02064,Material,m3,Arena pta pudahuel/cerr nav,0.0,4500.0,0.0,Hormigones y morteros,Aridos,30/04/2025
MAE02065,Material,m3,Gravilla pta en las condes,0.0,4000.0,0.0,Hormigones y morteros,Aridos,30/04/2025
MAE02073,Material,m3,Arena puesta maipu,0.0,4500.0,0.0,Hormigones y morteros,Aridos,30/04/2025
MAE02074,Material,m3,Gravilla puesta en vitacura,0.0,3520.0,0.0,Hormigones y morteros,Aridos,30/04/2025
MAE02108,Material,m3,Arena puesta en huechuraba,0.0,5020.0,0.0,Hormigones y morteros,Aridos,30/04/2025
MAE02114,Material,m3,Arena pta conch/recol/indep,0.0,4900.0,0.0,Hormigones y morteros,Aridos,30/04/2025
MAE02140,Material,m3,Arena puesta santiago,0.0,4300.0,0.0,Hormigones y morteros,Aridos,30/04/2025
MAE02147,Material,m3,Arena pta q-norm/prado/cent,0.0,4700.0,0.0,Hormigones y morteros,Aridos,30/04/2025
MAE02153,Material,m3,Arena pta cerr/lo espej/pac,0.0,4340.0,0.0,Hormigones y morteros,Aridos,30/04/2025
MAE02195,Material,m3,Arena pta el bosque/la pint,0.0,4020.0,0.0,Hormigones y morteros,Aridos,30/04/2025
MAE02212,Material,m3,Arena pta cist/ramon/granja,0.0,4300.0,0.0,Hormigones y morteros,Aridos,30/04/2025
MAE02223,Material,m3,Arena pta s-miguel/s-joaqui,0.0,4380.0,0.0,Hormigones y morteros,Aridos,30/04/2025
MAE02229,Material,m3,Arena puesta en Lanco,0.0,3980.0,0.0,Hormigones y morteros,Aridos,30/04/2025
MAE02235,Material,m3,Arena puesta la florida,0.0,4380.0,0.0,Hormigones y morteros,Aridos,30/04/2025
MAE02241,Material,m3,Arena pta macul/penalolen,0.0,4580.0,0.0,Hormigones y morteros,Aridos,30/04/2025
MAE02247,Material,m3,Arena pta nunoa/reina/provi,0.0,4740.0,0.0,Hormigones y morteros,Aridos,30/04/2025
MAE02253,Material,m3,Arena pta las condes,0.0,5400.0,0.0,Hormigones y morteros,Aridos,30/04/2025
MAE02278,Material,m3,Arena puesta vitacura,0.0,4780.0,0.0,Hormigones y morteros,Aridos,30/04/2025
MAE02284,Material,m3,Grava puesta quilicura,0.0,3250.0,0.0,Hormigones y morteros,Aridos,30/04/2025
MAE03057,Material,m3,Ripio chanc 3/4-13/4  a 15k,0.0,2760.0,0.0,Hormigones y morteros,Aridos,30/04/2025
MAE03063,Material,m3,Gravilla chancada t max 3/4,0.0,4160.0,0.0,Hormigones y morteros,Aridos,30/04/2025
MAE03134,Material,m3,"Ripio canto rodado bajo 2""",0.0,6000.0,0.0,Hormigones y morteros,Aridos,30/04/2025
MAE03148,Material,m3,"Estabilizado con flete 15 km bajo 1 1/2""",0.0,3650.0,0.0,Hormigones y morteros,Aridos,30/04/2025
MAE04466,Material,lit,Arena estuco c/flete 15 kms,0.0,18.0,0.0,Hormigones y morteros,Aridos,30/04/2025
MAE05284,Material,m3,Arena puesta en planta,0.0,3900.0,0.0,Hormigones y morteros,Aridos,30/04/2025
MAE05285,Material,m3,Grava puesta en planta,0.0,1250.0,0.0,Hormigones y morteros,Aridos,30/04/2025
MAE05286,Material,m3,Gravilla puesta en planta,0.0,2800.0,0.0,Hormigones y morteros,Aridos,30/04/2025
MAE05287,Material,m3,Arena c/flete 15 km,0.0,6500.0,0.0,Hormigones y morteros,Aridos,30/04/2025
MAE05288,Material,m3,Grava c/flete 15 km,0.0,3050.0,0.0,Hormigones y morteros,Aridos,30/04/2025
MAE05289,Material,m3,Gravilla c/flete 15 km,0.0,6000.0,0.0,Hormigones y morteros,Aridos,30/04/2025
