Prefijo,Categoria,Subcategoria,MaxNumero,Count,NextCodigo,Tipo
MTL,Maquinarias,Otros (arriendo),6746,38,MTL6747,"EQUIPOS, MAQUINARIAS, HERRAMIENTAS"
MTM,Maquinarias,Otros (venta),6954,11,MTM6955,"EQUIPOS, MAQUINARIAS, HERRAMIENTAS"
MTN,Maquinarias,Equipos de pavimentacion (vent,6163,16,MTN6164,"EQUIPOS, MAQUINARIAS, HERRAMIENTAS"
MTO,Maquinarias,Equip. compactacion (arriendo),7005,68,MTO7006,"EQUIPOS, MAQUINARIAS, HERRAMIENTAS"
MTP,Maquinarias,Vibradores (arriendo),6984,19,MTP6985,"EQUIPOS, MAQUINARIAS, HERRAMIENTAS"
MTQ,Maquinarias,Bombas (arriendo),2559,24,MTQ2560,"EQUIPOS, MAQUINARIAS, HERRAMIENTAS"
MTR,Maquinarias,Moldajes y andamios (arriendo),7902,37,MTR7903,"EQUIPOS, MAQUINARIAS, HERRAMIENTAS"
MTS,Maquinarias,Hormigones (arriendo),6987,41,MTS6988,"EQUIPOS, MAQUINARIAS, HERRAMIENTAS"
MTT,Maquinarias,Soldadoras (venta y arriendo),6234,7,MTT6235,"EQUIPOS, MAQUINARIAS, HERRAMIENTAS"
MTU,Maquinarias,Plantas electricas (arriendo),6956,46,MTU6957,"EQUIPOS, MAQUINARIAS, HERRAMIENTAS"
MTV,Maquinarias,Equipos de pavimentacion (arri,6959,46,MTV6960,"EQUIPOS, MAQUINARIAS, HERRAMIENTAS"
MTW,Maquinarias,Tractores (arriendo),6242,9,MTW6243,"EQUIPOS, MAQUINARIAS, HERRAMIENTAS"
MTX,Maquinarias,Equipos Topograficos,2,2,MTX3,"EQUIPOS, MAQUINARIAS, HERRAMIENTAS"
MUA,Herramientas y elem. de seguri,Herramientas,6794,94,MUA6795,MATERIALES
MUD,Herramientas y elem. de seguri,Elementos de seguridad,6415,79,MUD6416,MATERIALES
MUE,Herramientas y elem. de seguri,Accesorios,6666,8,MUE6667,MATERIALES
MVA,Obras exteriores,Cierros,5810,73,MVA5811,MATERIALES
MVB,Obras exteriores,Jardineria,5173,66,MVB5174,MATERIALES
MVC,Obras exteriores,Soleras y solerillas,5823,48,MVC5824,MATERIALES
MVD,Obras exteriores,Costos de const.(permisos muni,1491,4,MVD1492,MATERIALES
MVE,Obras exteriores,Otros,5803,16,MVE5804,MATERIALES
MVF,Obras exteriores,Cobertizos,6500,2,MVF6501,MATERIALES
MWA,Asfaltos y adhesivos,Asfaltos,6270,11,MWA6271,MATERIALES
MWB,Asfaltos y adhesivos,Pegamentos y adhesivos,6856,141,MWB6857,MATERIALES
MWC,Asfaltos y adhesivos,Combustibles,5889,7,MWC5890,MATERIALES
MWD,Asfaltos y adhesivos,Sellantes,6792,17,MWD6793,MATERIALES
MWE,Asfaltos y adhesivos,Otros,6464,7,MWE6465,MATERIALES
MWF,Asfaltos y adhesivos,Membranas asfalticas,6926,9,MWF6927,MATERIALES
MXA,Subcontratos,Subcontratos electricos,42,42,MXA43,MATERIALES
MXB,Subcontratos,Subcontratos sanitarios,50,50,MXB51,SUBCONTRATOS
MXC,Subcontratos,Subcontratos de gas,4,4,MXC5,SUBCONTRATOS
MXD,Subcontratos,Subcontratos varios,135,129,MXD136,SUBCONTRATOS
MYA,Varios,Camaras y accesorios,5416,41,MYA5417,OTROS
MYB,Varios,Estanques de agua,3352,9,MYB3353,OTROS
MYC,Varios,Soldaduras,7012,23,MYC7013,OTROS
MYD,Varios,Explosivos,4567,13,MYD4568,OTROS
MYE,Varios,Demoliciones y Entibaciones,2541,4,MYE2542,OTROS
MYF,Varios,Estanques de gas,3867,2,MYF3868,OTROS
MYH,Varios,Elementos de perforacion,3206,3,MYH3207,OTROS
MYI,Varios,Elementos camineros y señaliz,5643,15,MYI5644,OTROS
MYJ,Varios,Otros,4609,16,MYJ4610,OTROS
MYK,Varios,Geotextiles,7204,14,MYK7205,OTROS
MYL,Varios,Elementos inst. faenas,6763,37,MYL6764,OTROS
MYM,Varios,Actividades usadas como materi,1223,8,MYM1224,OTROS
MYN,Varios,Comunicaciones,3,3,MYN4,OTROS
MYO,Varios,Letreros Obra,2,2,MYO3,OTROS
MYP,Varios,Climatización,3321,11,MYP3322,OTROS
O,Mano de Obra,Mano de obra especializada,7895,122,O7896,MANO DE OBRA
O,Mano de Obra,Mano de obra general,7324,48,O7325,MANO DE OBRA
SXD,Metales,"Tornillos, pernos, tuercas y r",4,1,SXD5,MATERIALES
SXD,Subcontratos,Subcontratos varios,169,38,SXD170,SUBCONTRATOS
